,product_title,lowest_price,montly_sales,original_price,discount_rate,star,ratings,total_sales,favorites,brand,weight,warranty,capacity,stock,power
117,MMX Pressure Cooker Stainless Steel Pot Rice Cooker Rendang (6L) Ewant Pro,188.88,32,680.0,72,4.9,307.0,486.0,556,Kelen Munoz MMX,0.0,0,0.0,92,0
118,【Original】New Version 20 Button Pressure Cooker Dessini Rice Cooker Periuk Tekanan 6L & 8L,109.0,32,0.0,59,4.9,1600.0,2600.0,860,Others,0.0,12,0.0,388,0
119,"Multi-function electric cooker 3L/5L Non-Stick Steamboat Rice Cooker with Temperature Control, with Overheating Protection, with steamer for Fry, Sauté, Steam, Simmer, Electric Frying Pan",68.8,32,0.0,23,4.9,124.0,243.0,550,Others,1950.0,12,3.0,89,1000
120,Toshiba Mechanical Rice Cooker (1.8L) RC-18JH1NMY,94.0,30,0.0,45,4.9,236.0,402.0,215,Toshiba,0.0,12,1.8,733,0
121,🔥🔥ready stock DESN kenwood Pressure Cooker Stainless Steel Pot Rice Cooker (6L 8L)Malaysia plug,120.0,30,0.0,37,4.9,358.0,637.0,281,Others,0.0,0,0.0,2546,0
122,DESSINI ITALY 10IN1 Electric Digital Pressure Cooker Non-stick Stainless Steel Inner Pot Rice Cooker Steamer (6L),122.0,30,309.0,61,4.8,221.0,379.0,300,Dessini,0.0,0,0.0,529,0
123,Europlus Emerald Multi Cooker Non Stick Inner Pot Multifunctional Electric Cooker with Steamer Rack,159.0,17,199.0,20,5.0,261.0,408.0,582,Europlus,0.0,12,0.0,14,0
124,MMX Pressure Cooker Stainless Steel Pot Rice Cooker Rendang (6L) 12 Functions Ewant Pro MMXYBD6-100A,188.88,54,999.0,83,4.9,2400.0,3500.0,1900,Kelen Munoz MMX,5000.0,1,6.0,209,1000
125,Joyoung MIni Electric Cooker K12-D603 rice cooker Line Friends Steamer Personal Hotpot Stainless Steel Electric Boiler,94.0,8,129.0,27,5.0,4.0,16.0,39,Joyoung,0.0,12,0.0,30,0
126,5L Multifunction Electric Smart Rice Cooker Non Stick,122.9,0,175.57,30,0.0,0.0,0.0,0,Others,0.0,0,0.0,0,0
